推荐人ID,推荐博主名称,博主涉及领域,博主所在平台,跳转链接,推荐理由,推荐时间
小皮球菌,设计与思考Design &Thinking,设计,B站,,2018.4.12 《设计与思考》是一部在探讨「设计思考」(Design Thinking)的纪录片。它的制作团队，是由Muris缪思以及台湾创意设计中心旧金山分部所组成。他们在2011年认识并一起合作，以创新拍片的方式完成电影，并在全球巡回播放。2013年，该团队又合力制作了第二部国际纪录片-Maker《自造世代》，是一部在探讨自造者运动的纪录片，也再度成功于Kickstarter募款拍片,2021.2.8
小皮球菌,Lucy,英语,B站,,跟着美女Lucy学英语 （中英字幕）,2021.2.8
神奇海螺1,一数,数学,B站,https://space.bilibili.com/14229967?from=search&seid=17644170544724683971,,2021.2.9
神奇海螺1,会放羊的教书匠,数学,B站,https://space.bilibili.com/44980991,,2021.2.9
暂无名称,历史调研室,,B站,https://space.bilibili.com/519872016/,,2021.2.9
淡定淡定608,受之学堂,工业设计,B站,https://space.bilibili.com/5679766?from=search&seid=5387482709978428720,,2021.2.9
还和你说,陆铭教授,空间经济学，计量经济学,B站,https://space.bilibili.com/508835396/,强烈推荐其《大国大城》一书！！！,2021.2.9
鬼谷良师,BkbK-,计算机,B站,https://bokai.blog.csdn.net/,,2021.2.10
良景,Krenz官方账号,,B站,https://space.bilibili.com/181578039/,绘画基础的干货，很适合新手入门练习时观看,2021.2.9
赵阙,不务正业的李雷,生活科普,B站,https://b23.tv/kRaapO,,2021.2.10
sky92,sky92昙,西班牙语,B站,https://space.bilibili.com/5548363/channel/detail?cid=151293,新现西的教材讲解，还在持续更新,2021.2.12
sky92,冰糖雪梨Cherie,西班牙语,B站,https://space.bilibili.com/66782324,上海某IB国际学校商管和西语老师，有篇A2难度语法讲的很好,2021.2.12
Ayzjl,李好帅的黄金屋,分享书的UP,B站,https://space.bilibili.com/16395179?from=search&seid=1391500891483912232,视频风格让你觉得他是在单独的对话，而不是讲述。而且也正在不断尝试新的东西，视频事业也是在上升期，不像之前一断更就是半年。,2021.2.14
言念君子,,,B站,https://b23.tv/EuHlgQ,数据结构与算法看到的最仔细耐心的课程，非常适合初学者，唯一的缺点是篇幅较长,2021.2.15
东南枝,-LKs-,什锦区up主,B站,https://space.bilibili.com/125526?from=search&seid=4818063267001170616,,2021.2.16
杭奕,1900影剧室,影视剧解读,B站,https://www.bilibili.com/video/BV1QJ411a76B?from=search&seid=4446654470707480189,便于快速了解经典影视剧内容及其创作背景，细节性解读影视剧经典之处,2020.3.1
杭奕,木鱼水心,影视剧解读,B站,https://search.bilibili.com/all?keyword=%E6%9C%A8%E9%B1%BC%E6%B0%B4%E5%BF%83,便于快速了解经典影视剧内容及其创作背景，细节性解读影视剧经典之处,2020.3.1
杭奕,沙盘上的战争,军事、地理、历史,B站,https://search.bilibili.com/all?keyword=%E6%B2%99%E7%9B%98%E4%B8%8A%E7%9A%84%E6%88%98%E4%BA%89,用三维地图来推演近现代各经典战例，适于军事及历史爱好者,2020.3.1
一碗甜桂羮,未明子,哲学,B站,https://space.bilibili.com/23191782?from=search&seid=8812017466133041834,适合哲学入门，一个坚定的Marxist,2021.5.16
小斯,oeasy,传媒计算机技能,B站,,中传计算机老师，免费教PS，PR，AE,2021.6.13
小斯,白花恋诗彩,通识科普,B站,,十分钟速成课系列相当不错,2021.6.13
小斯,老蒋巨靠谱,B站,B站,,全B站分析内容最强的up主之一,2021.6.13
小斯,吸奇侠,四大名著,B站,,《水浒传》看法独特,2021/6/13
OFPC2Y,冲浪普拉斯,商业历史,B站,https://space.bilibili.com/290548469,中国商业历史，听听耳熟能详的品牌与商业大佬们的故事。不看不知道，商界故事可能比电视剧还狗血！,2021/6/17
贰子小脑斧,来真的,建筑,B站,https://space.bilibili.com/590784254/,,2021.7.4
贰子小脑斧,一只建筑精,建筑,B站,https://space.bilibili.com/484332084/,,2021.7.5
