推荐人ID,推荐课程名称,授课老师,课程对应专业,课程所在平台,跳转链接,推荐人专业,推荐语,推荐日期
_碳十二_,《C语言入门：程序设计》,翁恺,计算机,中国大学MOOC,https://www.icourse163.org/course/ZJU-9001,侦查学,虽然我不是计算机专业的，但感觉教的真的很棒,2021年1月15日
我是Vicky鸭,《2020法大法考民法强化》,刘家安,法学,B站官方账号,https://www.bilibili.com/video/BV1uv41147WY?from=search&seid=16671067176069799043,法学,从原理层讲述民法，随之知识层也容易懂。民法庞杂，掌握原理比琐碎的知识更为重要,2021年1月26日
假动作丶False,《【MIT】线性代数》,Gilbert Strang,线性代数,网易公开课,http://open.163.com/special/opencourse/daishu.html,几乎所用工科,对于国内的线性代数教科书水平我不用多说了吧，老爷子写的Linear Algebra and Applications久负盛名。,2021年2月8日
砢_503,《中国书法创作实践》,丘新巧,书法学,中国大学MOOC,http://www.icourse163.org/course/SHNU-1205806840,书法学,较好实践类大学书法创作课。,2021年2月11日
小皮球菌,《中国人民大学英语口语能力标准》实施系列讲座——英语语音基础与朗读技巧,田朝霞,英语,人大网站,http://sope.ruc.edu.cn/search.php?tit=%E7%94%B0%E6%9C%9D%E9%9C%9E,英语,英音发音，很了解中国学生的口语问题,2021年2月8日
萌萌的苔花9,《中国古代文学史——隋唐五代》,康震,汉语言文学,爱课程,http://www.icourses.cn/web/sword/portal/videoDetail?courseId=ff8080814a94c40f014a95178b320077#/?resId=ff8080814a94c40f014a9518dcf30079,汉语言文学,中国诗词大会上的那位老师，以诗人为线索讲文学，讲的棒极了,2021年1月20日
大浪君Dylan,《政治学概论》,李强,政治学,华文慕课,http://www.chinesemooc.org/mooc/4798,社会学,,2021年1月20日
大浪君Dylan,《政治学导论》,唐士其,政治学,华文慕课,http://www.chinesemooc.org/mooc/4769,社会学,,2021年1月20日
时萤fly,《真题全刷系列》,朱昊鲲,高中数学,b站up主,AV38876487,高中数学,这个老师所归纳的练习书籍以及里面所有的练习方法，是我认为市面上所有书里最有成效的，本人数学成绩常年没上过70分，高考108，给这位老师跪下了,2021年2月8日
Ryan,《哲学-死亡》,Shelly Kagan,哲学,网易公开课,https://open.163.com/newview/movie/free?pid=M6G42OB8E&mid=M6HSFJPTM,哲学,深入浅出,2021年2月9日
没钱买自行车只好打的,《有限元分析及应用》,曾攀,机械,学堂在线,https://www.xuetangx.com/course/THU08021000430/5883028?channel=search_result,机械,有限元良心课程,2021年2月2日
大浪君Dylan,《幽默社會學》,孫中興,社会学,臺大開放式課程,http://ocw.aca.ntu.edu.tw/ntu-ocw/ocw/cou/102S101,社会学,,2021年1月20日
邪王真眼eye,《有机化学》,李艳梅,有机化学,学堂在线,https://www.xuetangx.com/course/THU07031000429/5883025?channel=search_result,计算化学,清华的，你说牛不牛？,2021年1月15日
惊雀鸣蝉,《有机化学》,张文勤,有机化学,中国大学MOOC,,材料科学与工程,简单易懂（确信）,2021年1月17日
皓仔,《有机化学》,李艳梅,有机化学,学堂在线,https://www.xuetangx.com/course/THU07031000429/5883025?channel=search_result,应用化学,条理清晰，逻辑性强,2021年1月21日
Lmcsr,《刑法学分论）,王新,法学,超星慕课,http://mooc1.chaoxing.com/course/116837.html,法学,着重于分析法条的演变过程，加深刑法分则条文的理解程度,2021年2月8日
_碳十二_,《刑法学》,罗翔,法学,法考机构公开课,http://www.houdask.com/#/packaging/27/2020/1,侦查学,中国政法大学十大受欢迎教师,2021年1月15日
inm小顾,《心理学导论》,Paul Bloom,心理学,网易公开课,https://open.163.com/newview/movie/free?pid=M6HUJ9GBL&mid=M6HUVL53R,刑技交通,有实例，学到的比想象中多。,2021年1月15日
阿柒NANA,《心理统计与SPSS》,孟迎芳,心理学,中国大学慕课,直接搜索课程名称,心理学,体系完整，与统计学相结合，更贴进本专业学生进行专业相关的软件运用，且体系完整，结构清晰，很值得学习,2021年1月21日
Jane,《小学语文课程标准与教材研究》,王荣生,小学教育,中国大学MOOC,直接搜索,小学教育专业,目前为止，王荣生老师在小学语文课程领域的研究十分深入，为数不多的好课,2021年1月19日
Wang hy,《线性代数》,吉尔伯特,数学,网易公开课,http://open.163.com/special/opencourse/daishu.html,物理学,,2021年1月20日
休谟门下走狗,《西方哲学史》,赵林,哲学,爱课程（国家精品课）,http://www.icourses.cn/sCourse/course_6661.html,哲学,赵老师的视频丢了好多了，不要点收藏，点稍后观看，多看几节，你就会被可爱的赵老师所折服,2021年1月22日
ZCild,《西方文论》,杨宁,文学理论,B站官方账号,https://www.bilibili.com/video/BV19J411S7Us,汉语言文学,何止文学理论，作为中文系学生真的受益匪浅,2021年2月9日
匿,《吾国教育病理》,郑也夫,教育社会学,超星慕课,http://mooc1.chaoxing.com/course/200080596.html,社会学,正如UP视频所述教育问题及我们正在努力的事情——这份课程进行了更加完整、学术的讨论。主讲人是位很棒的社会学老师，郑老师在城市社会学、教育社会学等方面颇有研究与著述。此课程有同名书籍，选一即可。,2021年2月8日
地表最强土拨鼠,《文学理论课程全集》,西竹书院杨宁老师,文学理论,b站官方账号,BV1LE411e7NE,汉语言文学,理论解释通透，老师幽默且全程板书，很适合习惯记系统笔记的同学，人文社科的学生都可以听一下,2021年2月8日
佳明,《文学理论》,杨宁,文学类,B站官方账号,BV1LE411e7NE,汉语言文学,学到的何止是文学理论,2021年1月17日
ZCild,《文学理论》,杨宁,文学理论,B站官方账号,https://www.bilibili.com/video/BV1LE411e7NE,汉语言文学,何止文学理论，作为中文系学生真的受益匪浅,2021年2月9日
孟雪居士,《文献学的理论与方法》,郭英德,汉语言文学,中国大学MOOC,https://www.icourse163.org/course/BNU-1002718008,汉语言文学,对于古典文献学的入门开拓了思路,2021年2月8日
小叶小耶,《微积分》,苏德矿,高等数学,中国大学MOOC,https://www.icourse163.org/course/ZJU-1003315004,工管,生动细致,2021年1月27日
一只奶嘴儿,《微观经济学》《宏观经济学》,郑炳,经管专业基础课程,B站官方号,https://space.bilibili.com/435894752?spm_id_from=333.788.b_765f7570696e666f.2,会计,简洁明了，无论是期末考试还是考研党都适合，教材是高鸿业版，不过其他版本的内容也都差不多,2021年1月19日
砢_mitsuishi,《说文解字》与上古社会,万献初,汉语言文学,爱课程、中国大学MOOC,https://www.icourse163.org/course/WHU-500004,书法学,许慎《说文解字》入门课,2021年2月10日
Wang hy,《数学物理方法》,吴崇试,物理,爱课程,https://www.bilibili.com/video/BV13s411t7rZ?from=search&seid=2022551605020052460,物理学,吴老讲课非常有激情，讲的体系很完整，结构比较合理,2021年1月20日
黑暗河流上的闪光,《数据结构与算法python版》,陈斌,计算机,中国大学MOOC,https://www.icourse163.org/course/PKU-1206307812,英语,python进阶，看了绝不让你失望,2021年2月9日
Brynn1285,《数据结构与算法基础》,王卓,计算机,b站（授权转载,https://www.bilibili.com/video/BV1nJ411V7bd,计算机科学与技术,动态演示算法过程清晰，老师对各种算法表述清楚,2021年1月20日
假动作丶False,《数据结构》,王道课程,数据结构,B站官方账号,BV1b7411N798,计算机科学,别的不说，讲数据结构这一块非常系统，全程干货,2021年2月8日
阿柒NANA,《实验心理学》,陈彩琦,心理学,中国大学慕课,直接搜索实验心理学,心理学,条理清楚，逻辑清晰，和前沿学科相关联，与时俱进，结构完整，通俗易懂，很适合专业学生进行系统学习，爱好者也可以认识到心理学更科学的一面,2021年1月21日
猫吉木,《时尚与品牌》,任力,纺织科学与工程,中国大学MOOC,,服装设计与工程,老师上课蛮有趣的，对时尚和买手行业有自己独到的见解，这个课程很适合初学者去看，虽然ppt里的案例有点少哈哈,2021年2月9日
苏祈,《史记（一）》,吕世浩,人文学,coursera （外国公开课平台）,https://www.coursera.org/learn/shiji,汉语言文学,吕世浩老师讲的史记，是我目前听到过的最好的文史课。,2021年2月10日
花理度,《生物化学原理》,贺银成,生物化学,中国大学MOOC,,生物制药,,2021年1月16日
哈士基睡到自然醒,《生理学》,罗自强,生理学,中国大学mooc,直接搜索,医学,讲解清晰易懂，与课本结合密切。,2021年2月8日
大浪君Dylan,《社會學》,孫中興,社会学,臺大開放式課程,http://ocw.aca.ntu.edu.tw/ntu-ocw/ocw/cou/101S115,社会学,,2021年1月20日
大浪君Dylan,《社会调查与研究方法》,邱泽奇,社会科学,华文慕课,http://www.chinesemooc.org/mooc/4411,社会学,,2021年1月20日
白煠蝶,《人为何活着》,许倬云,人文思想学,B站官方账号,,影视动画,,2021年1月23日
卢大大大侠,《人人爱设计上》、《人人爱设计下》,王芬,设计思维,中国大学mooc,http://163.lu/MJq3O1,设计学,对刚开始接触设计的专业同学非常有帮助，锻炼思维能力，专业性较强，但不枯燥，感兴趣的同学学习也没有压力的,2021年2月9日
寻觅世界的每个角落,《南京大学—中国现当代文学》,,汉语言文学,国家精品课,http://www.icourses.cn/sCourse/course_3763.html,汉语言文学、教育学,老师讲的有逻辑，有重点，有趣味,2021年2月7日
Tristesse_STK,《模拟电子技术》,郑益慧,电气,B站,https://www.bilibili.com/video/BV1Gt411b7Zq,电气工程及其自动化,郑老师讲解模电不会按照解题套路去讲课，而是按照对电路功能或者实际需求来一步步推理或者拆解着讲，所以听完后很多不懂的难点会茅塞顿开。,2021年2月9日
sun湘君,《孟子》精读（全69讲）,孟琢,中国古代文学,学习通,http://erya.mooc.chaoxing.com/search?val=%E5%AD%9F%E7%90%A2,中国语言文学,幽默风趣，重点突出，了解四书的好路径。,2021年1月20日
东方月圆,《门外汉画形状》,b站up主学艺不精的门外汉,绘画,B站up主官方号,https://b23.tv/JRJ8wR,动漫,老师几乎打破了传统观念 质量很高,2021年1月19日
,《满语》,王硕（完颜苏勒景圣）,中国少数民族语言文学,b站官方账号,BV1fE411i7my,中国少数民族语言文学、中国古典文献学、明清史、文献语言学,课程清晰易懂，是明清史、中国古典文献学、中国少数民族语言文学专业，《满语》类课程的入门精品,2021年2月8日
哎呀大菠萝,《聆听音乐》,克雷格·莱特 （Craig Wright）,古典音乐欣赏,网易公开课,https://open.163.com/newview/movie/free?pid=M6HUGST1G&mid=M6HUJ4KR2,音乐史,本课程适合有一定乐理基础或对古典音乐、音乐史等有兴趣的同学，克雷格·莱特先生鞭辟入里的通过对诸多古典名曲的分析详细地阐述了音乐的奥秘与西方音乐体系的伟大与精妙之处，课程对应CD可以在喜马拉雅等平台搜索课程名称免费收听,2021年2月9日
贾黎顿,《零基础学C语言》,马钊,C语言,中国大学MOOC,https://www.icourse163.org/course/CUG-1001632003,自动化,零基础C语言启蒙，老师语速不快，讲得通俗易懂，生动形象，详细全面难度过渡地自然流畅，不会出现突然听不懂的情况。,2021年1月17日
东方月圆,《零基础二次元绘画系列教学》,b站up主沙包-Chilli,绘画,B站up主官方号,https://b23.tv/S2JfKM,动漫,基础很好，视频简洁清晰,2021年1月19日
东方月圆,《零基础BLENDER2.8中文开源系统入门教程》,b站up主只剩一瓶辣椒酱,建模,B站up主官方号,https://b23.tv/lq0nzz,动漫,老师很厉害且很良心,2021年1月19日
张亦可,《理论力学》（物理类）,任延宇,物理学,中国大学MOOC,https://www.icourse163.org/course/HIT-1206323802,物理学,任老师的课程应该是全网最好的理论力学课了，板书清楚，推导详细，讲课有条理，不需要什么高数基础都能够听懂的理论力学。,2021年2月8日
精资小白痴,《经济学通识》,薛兆丰,经济学,b站,BV1gJ4113797,经济学,博君一孝，哄堂大孝,2021年1月22日
,《结构化学基础》,孙宏伟,结构化学,官方,https://struchem.nankai.edu.cn/jghx.htm,,,2021年1月15日
寻光,《红楼梦》,欧丽娟,文学类,台湾大学公开/B站,http://ocw.aca.ntu.edu.tw/ntu-ocw/index.php/ocw/cou/101S120/7,历史学,系统、全面、深刻，而且让我有醍醐灌顶之感,2021年1月17日
ZCild,《古代文论》,杨宁,文学理论,B站官方账号,https://www.bilibili.com/video/BV1o7411L73E,汉语言文学,何止文学理论，作为中文系学生真的受益匪浅,2021年2月9日
血溢夏秋,《高分子化学》,李伯耿,高分子化学/化工,爱课程,http://www.icourses.cn/sCourse/course_4319.html,高分子材料与工程,,2021年1月18日
风清气,《高等数学》、《高等数学典型例题与解法》,朱建民,高等数学,中国大学mooc,https://www.icourse163.org/learn/NUDT-1001616011?tid=1461597445#/learn/announce,高等数学,高数启蒙老师，老师的讲解非常细致，有种娓娓道来的感觉，推导基本上都是板书，板书有误的地方后期也改过来了，非常推荐~,2021年2月9日
假动作丶False,《高等数学》一到七,朱建明,高等数学,中国大学mooc,https://www.icourse163.org/course/NUDT-9004,各种工科,不像大多数老师念ppt，每一节都有一个导论，每一个公式都会推导在黑板上推导一遍。,2021年2月8日
阿强爱吹风,《概率论与统计学》,洪永淼,,官网,https://probability.xmu.edu.cn/,金融,对进一步学习（高级）计量经济学很有帮助。,2021年1月23日
猫吉木,《服装立体裁剪》,吴巧英,纺织科学与工程,中国大学MOOC,,服装设计与工程,从立体裁剪原理引入课程，实景拍摄，系统性强，学完基本可以上手进行服装立裁制作,2021年2月9日
阿柒NANA,《发展心理学》,苏彦捷,心理学,中国大学慕课,直接搜索课程名称,心理学,建立发展心理学的知识体系，不仅仅是书上内容，有利于了解一个生命全程的发展，很有意思,2021年1月21日
慕,《法语入门系列》,法语二师兄,法语,b站up,https://www.bilibili.com/video/BV1a7411m7Uu?from=search&seid=8006872228236202462,法语,基础，详细,2021年2月9日
水清浅,《大学物理》,东南大学物理系老师,大学物理,爱课程,http://www.icourses.cn/web/sword/portal/shareDetails?cId=2532#/course/chapter,电气工程及其自动化,大学物理上册自学全靠这个。,2021年1月15日
zsh,《大学生服务外包概论》,尚硅谷一众老师,web前端,B站官方账号,https://www.bilibili.com/video/BV1YW411T7GX?spm_id_from=333.788.b_636f6d6d656e74.8,web前端,以超哥的js核心为例，下面有从入门到入土的所有教程，超良心,2021年2月10日
卢大大大侠,《创意思维训练》,曹黄,设计思维,中国大学mooc,http://163.lu/MQFAP1,设计学,探讨图形创意，图案创意的方法，适合视觉设计，服装设计，产品设计专业同学观看，非常的有干货！,2021年2月9日
斯莫斯咖福,《超级育儿师》,兰海,幼儿心理学,爱奇艺/腾讯视频,直接搜索《超级育儿师》,学前教育,有具体的案例可以观看，看老师是如何处理家庭问题的，把书本的知识转化为解决问题的能力,2021年2月2日
砢_mitsuishi,《草书字法教程》,刘东芹,书法学,中国大学MOOC,https://www.icourse163.org/course/HYTC-1449787173,书法学,草书字法学习入门必修。预备知识：有一定的书法基础，最好临摹过孙过庭《书谱》、王羲之《十七帖》等草书，学习过《说文解字》。,2021年2月10日
叫啥都行,《材料科学基础》,王永欣,材料科学基础,中国大学mooc,,材料科学与工程,老师讲的比较细，速度适中,2021年1月17日
绝命香菜,《半导体物理》,,微电子,官网,https://sme.xidian.edu.cn/html/bkjj/zxkt/bdtwl1/,电子科学与技术,通俗易懂，讲的很棒(备注∶不知道为啥老师名字那格不显示，填到后面一格了),2021年2月9日
大浪君Dylan,《愛情社會學》,孫中興,社会学,臺大開放式課程,http://ocw.aca.ntu.edu.tw/ntu-ocw/ocw/cou/101S116,社会学,,2021年1月20日
哦啵啵啵oo,[野火]STM32 HAL库开发实战指南,野火,嵌入式软件工程,B站Up,https://www.bilibili.com/video/BV18X4y1M763,计算机科学,知识含量全面末节丰富,快速入门都是2倍数,适合熟鸟有助于提升开发进度*100,2021年2月10日
哦啵啵啵oo,[野火]STM32 FreeRTOS内核实现与应用开发实战指南,野火,嵌入式软件工程,B站Up,https://www.bilibili.com/video/av57449565,计算机科学,知识含量全面末节丰富,快速入门都是2倍数,操作系统,推荐顺序(2),2021年2月10日
哦啵啵啵oo,[野火]STM32 emWin实战指南,野火,嵌入式软件工程,B站Up,https://www.bilibili.com/video/BV16t4y117rN,计算机科学,知识含量全面末节丰富,快速入门都是2倍数,图形软件库,推荐顺序(1),2021年2月10日
哦啵啵啵oo,[野火]STM32 电机应用开发实战指南,野火,嵌入式软件工程,B站Up,https://www.bilibili.com/video/BV1AZ4y1V7wt,计算机科学,知识含量全面末节丰富,快速入门都是2倍数,电机应用,推荐顺序(3),2021年2月10日
哦啵啵啵oo,[韦东山]Linux嵌入式全系列视频_快速入门篇,韦东山,嵌入式软件工程,B站Up,https://www.bilibili.com/video/BV1w4411B7a4,计算机科学,知识含量全面末节丰富,一辈子都学不完嘻嘻,2021年2月10日
氧离子di,(上海交通大学张志华)机器学习导论,B站零基础学UI设计,机器学习导论,B站,https://www.bilibili.com/video/BV1jt411b76n?t=304,通信工程,个人觉得很详细，有趣,2021年6月18日
升腾腾,(非大学专业课),morty,英语,B站官方账号,BV1J4411B7n8,政治学与行政学,课程满满的干货，特别适合英语基础特别差的同学,2021年1月16日
姜太公钓鱼,
文学理论,杨宁,汉语言文学,官方B站号,,历史学,课堂活泼生动，非专业同学看起来也非常上头,2021年2月9日
空白的阿栗,,钱铭怡,变态心理学,爱课程,,工商管理,,2021年1月16日
渣方是个沙雕鸭,,罗昭锋,文献管理与信息分析,中国大学mooc,,化学,,2021年1月19日
jiang_star,,菜鸟教程,各种编程语言,网站,https://www.runoob.com,计科,全面，简洁，详细,2021年2月8日
当微风吹拂我们的脸颊,,杨宁,,官方B站号,,西方文论,,2021年2月8日
他告诉大家,,沃尔特-略文,经典力学,网易公开课,https://open.163.com/newview/movie/free?pid=YERO8NBPQ&mid=EERO8NBQV,经典力学,优质课程，但不是最新的,2021年2月9日
爱学习的小叮当猫,,B站UP主,电子商务概论,B站up,https://b23.tv/uecuJ8,电子商务,,2021年2月9日
kkkllkkkk,,,英语,b站官方账号,BV1U7411t7sG,英语,共96集，涵盖初中，高中，四六级，专四专八，考研，托福雅思，GRE的英语学习,2021年2月10日
朴eason_,,景晴,药理学,医学教育网,,临床医学,景晴的药理学我看一半了，非常好,2021年2月10日
舒心__,,老师杂乱【自行学习】,【全年级英语】初中、高中、四级、六级、考研、专四、专八、GR，托福,up主原创,https://www.bilibili.com/video/BV1U7411t7sG,【全年级英语】初中、高中、四级、六级、考研、专四、专八、GR，托福,很高兴终于把所有等级的英语单词视频做完了。从发的第一个英语四六级单词到现在，刚好八个月了。一开始纯粹也就是做着好玩，考研相关也是自己用，不过后面和越来越多人聊天发现，大家对各类单词视频都有着需要，尝试做了下其它的。最初自己也是小白，对各类软件都不熟悉，期间学习和用了PR、PE、PS、arctime、小丸工具箱、lrc歌词编辑器、WPS、爱剪辑、狸窝视频助手、aegisub、格式工厂、甚至网易云音乐和QQ音乐，最终才把这些视频做出来了。最后希望视频能给大家帮助。,2021年2月11日
半城繁华半城殇,,宋浩,高等数学,B站官方账号,,高等数学,,2021年2月20日
AD,,b站xin的景观图志,风景园林系,,,风景园林,,2021年3月4日
全网通缉在逃ing,,黑马程序员,编程,B站官方,https://space.bilibili.com/37974444?from=search&seid=593529254248611123,汉语言文学,,
余暮雪,数学物理方法,姜颖,物理学,,,物理学类,公式推导讲的非常详细，非常适合预习,2021/12/16 19:18:52
余暮雪,电工电子学,秦三勇,物理学,,,物理学类,配合秦曾煌老师编写的电工学课本（高等教育出版社）最佳（秦三勇老师就是这本书的副编），老师讲的非常详细，板书也做得非常棒，B站有课程，可以说无论是预习还是学习都非常合适，不过由于课时较长，可能不太适合复习（https://www.bilibili.com/video/BV1et411z7Nz?spm_id_from=333.1007.top_right_bar_window_custom_collection.content.click）,2021/12/16 19:26:54
六个小兵打酱油,老版新日语基础教程—浙江大学张向荣第01-258讲,张向荣,日语,,,日语新手开始学日语,老师讲的非常详细，只要认真跟着学，上手学会日语并不难,2021/12/16 20:33:52
快乐的鼠兔,仓储与库存管理,张旭凤、解晓灵 、刘俐 、梁晨 、赵琨,物流、仓储,,,物流管理,物流领域难得的国家级课程，在mooc平台上即可免费参加,2021/12/16 21:00:18
时空宙皇,【2022】【专升本高等数学】【基础全程班】【专升本高数】,杰哥专升本,数学,,,网络技术,非常适合专科生学高数,2021/12/17 15:38:24
时空宙皇,英语零基础语法入门班,系列自学课程之初高中英语语法,NIckcen英语课堂,英语,,,网络技术,非常适合零基础的人学习英语语法,2021/12/17 15:42:07
闲云野鹤c、,医学影像,孟悛非,医学/临床,,,孟悛非,,2021/12/17 19:19:33
Diamond.T.X,区块链技术与应用,北京大学肖甄,区块链,,,计算机；金融,老师讲得很清晰 能对区块链这个底层技术基础有个大概的了解。B站就能查到老师的视频课程！,2021/12/17 23:02:40
达瓦里氏,新概念英语新东方,不记得了,英语,,,英语,加油,2021/12/18 0:25:25
