推荐人ID,推荐课程名称,授课老师,课程对应专业,课程所在平台,跳转链接,推荐人专业,推荐语,推荐日期
达达joex,微积分（二）,冷劲松,数学,b站,https://www.bilibili.com/video/BV1HJ411x7z9,管理学,,2021年3月8日
落紗瑛华,微积分,宋浩,数学,B站官方账号,BV1UW411k7Jv,种子科学与工程,期末备课看的，挺好,2021年1月17日
折木,微积分,苏德矿,高等数学,中国大学MOOC,https://www.icourse163.org/course/ZJU-1003315004,环境工程,全程脱稿，不用ppt，扎扎实实的把所有微积分概念理论讲明白，对数学思维的培养是极好的,2021年1月17日
麦克思维,微积分,苏德矿,数学,中国大学MOOC,https://www.icourse163.org/course/ZJU-1003315004,非数学,比宋浩的难一点，感觉更适合想提高的同学,2021年2月8日
L,微积分,苏德矿,高等数学,中国大学MOOC,https://www.icourse163.org/course/ZJU-1003315004,通信工程,矿爷的课，无需赘言。,2021年2月8日
L回L,微观经济学,KHAN,,网易公开课,http://open.163.com/newview/movie/free?pid=M8LHSGLJP&mid=M8LI5BDCP,国际经济与贸易,一边学专业知识还可以一边学英语。,2021年1月17日
白日梦,微观经济学,吴开超,微观经济学,中国大学MOOC,MOOC直接搜索即可,金融,超级好的老师，认真负责，举例简单清晰，很有逻辑，很有意思,2021年2月8日
啊啊,网络与市场中的计算思维,李晓明 邱泽奇,量化社科,中国大学mooc,,社会学（心理学双学位）,对量化社科有简单介绍 话题很有意思 李老师跟邱老师也对相关领域研究很深入 线下上课有配套的python手把手教学 线上试题部分也很灵活,2021年1月17日
jn,网络安全工程师,千峰教育,网络安全,b站up,https://www.bilibili.com/video/BV1i7411G7vm?from=search&seid=16887072600946639121,网络安全,基础详细，老师挺有趣的，很好的网络安全入门视频，,2021年2月9日
魂帝HD,Visual Studio2019入门教程,Frank,C语言IDE,b站官方账号,https://www.bilibili.com/video/BV1Xt411g7jT,汽车服务工程,前微软大佬，讲解通俗易懂，很快就能学会Visual Stdio2019的使用,2021年1月27日
lb8023lyyForever,Unix/Linux 作業系統實務,李博明,電子系,YouTube公开课,https://www.youtube.com/watch?v=NoGcnqDriHg&list=PLdrYbn8q6soPZ8jcKZ9uZCC5LEfhhFMW9,计算机,,2021年3月1日
依晓凡,unity游戏特效shader forge,,游戏特效,B站up,https://space.bilibili.com/20508311/channel/detail?cid=15815,游戏美术（特效）,节点文档说明https://acegikmo.com/shaderforge/nodes/,2021年2月9日
依晓凡,unity游戏特效入门,,游戏特效,腾讯课堂（免费）,https://ke.qq.com/course/232556?taid=1532929662749804,游戏美术（特效）,适合小白新手 unity基础 特效入门基础知识  讲解unity引擎 粒子系统 3Dmax基础操作 PS绘制等等,2021年2月9日
灰白色琴键,UI/UX设计相关教程,水球泡,UI/UX设计,B站官方账号,搜UP：像素范
https://space.bilibili.com/15741969?from=search&seid=18104595535930424693,国际经济与贸易,关于UI设计涉及的各方面知识老师都有讲到，很详细
动效、用户交互,2021年1月20日
百分百灰度,UI设计基础,B站零基础学UI设计,UI设计,B站up主,https://www.bilibili.com/video/BV11J411T7Fn?p=37&spm_id_from=pageDriver,艺术设计,简单好学，内容充实，种类全,2021年4月2日
东方月圆,UE4教程,b站堪嘉诚,UE4,B站up主官方号,https://b23.tv/x538JX,动漫,UE4教程 干货颇多,2021年1月19日
留云龙云,土木工程测量,张宏斌、胡伍生、高成发、翁永玲、王磊,土木工程,b站,https://www.bilibili.com/video/BV1Tf4y1s7V3,土木工程测量,,2021年5月20日
Corrain,通信原理,杨鸿文,通信工程,MOOC,https://icc.hep.com.cn/getSystemDepartmentPortal.action 搜索北京邮电大学,电子科学与技术,很喜欢杨老师的声音和讲课的节奏，当时学通信原理的时候，杨老师讲的思路很清晰，能够较容易的理解整本书的学习框架以及每部分的内容，总之很推荐的够了。,2021年1月24日
白煠蝶,TBH基础功能讲解,叫我卡通先生,动画,B站官方账号,https://www.bilibili.com/video/BV1U7411q7Fr?from=search&seid=2644108999419397083,影视动画,老师讲解地还可以，边看边学边摸索，我现在就靠着TBH做毕设，测试的工程文件的效果确实不错,2021年1月17日
Tian.H,弹性力学,王钦亭,弹性力学,中国大学MOOC,,工程力学,结合高等数学讲解弹性力学的微元体平衡方程的建立！适合初学弹性力学。,2021年2月10日
东方月圆,探访了很多艺术家,b站up主几册艺术,绘画,B站up主官方号,直接搜,动漫,和名字一样 里面很多和艺术相关的  也有绘画的教程,2021年1月19日
Doubllllllz,算法竞赛入门经典(第二版),算法竞赛_陈锋,算法竞赛,B站up主,https://space.bilibili.com/208090093/channel/detail?cid=129796,软件工程,无数人的第一本算法竞赛入门书籍的作者主讲哦,2021年2月9日
罗小格,stm32单片机,洋桃电子,单片机,B站up主,,电子信息工程,作为一个单片机工作室，这是其开发板的配套教程。十分详细且层次分明，废话少，适合初学者,2021年2月9日
